Symbol	RAPdb	MSU	path
DHD1	Os11g0706200	LOC_Os11g47920	data/Gene/Abstract/D/DHD1
DHS	Os02g0682300	LOC_Os02g45780	data/Gene/Abstract/D/DHS
DL	Os03g0215200	LOC_Os03g11600	data/Gene/Abstract/D/DL
DLT|OsGRAS-32|D62|GS6|SMOS2	Os06g0127800	LOC_Os06g03710	data/Gene/Abstract/G/GS6
DMC1A|DMC1	Os12g0143800	LOC_Os12g04980	data/Gene/Abstract/D/DMC1A
DNG701	Os05g0445900	LOC_Os05g37350	data/Gene/Abstract/D/DNG701
DNMT2	Os01g0612000	LOC_Os01g42630	data/Gene/Body/D/DNMT2
Docs1	Os02g0236100	LOC_Os02g14120	data/Gene/Abstract/D/Docs1
DP1	Os06g0136900	LOC_Os06g04540	data/Gene/Abstract/D/DP1
DPE1	Os07g0627000	LOC_Os07g43390	data/Gene/Abstract/D/DPE1
DPF	Os01g0196300	LOC_Os01g09990	data/Gene/Abstract/D/DPF
DPL1	Os01g0258600	LOC_Os01g15448	data/Gene/Abstract/D/DPL1
DPL2	Os06g0184100	LOC_Os06g08510	data/Gene/Abstract/D/DPL2
DPW	Os03g0167600	LOC_Os03g07140	data/Gene/Abstract/D/DPW
DPW2	None	LOC_Os01g70025	data/Gene/Abstract/D/DPW2
DRO1	Os09g0439800	LOC_Os09g26840	data/Gene/Abstract/D/Dro1
DRUS1	Os03g0333200	LOC_Os03g21540	data/Gene/Abstract/D/DRUS1
DRUS2	Os01g0769700	LOC_Os01g56330	data/Gene/Abstract/D/DRUS2
DSH1	Os06g0226950	LOC_Os06g12250	data/Gene/Abstract/D/DSH1
DSH5	Os01g0658600	LOC_Os01g46940	data/Gene/Abstract/D/DSH5
DSM1	Os02g0743500	LOC_Os02g50970	data/Gene/Abstract/D/DSM1
DSM2	Os03g0125100	LOC_Os03g03370	data/Gene/Abstract/D/DSM2
DSM3|OsITPK2	Os03g0230500	LOC_Os03g12840	data/Gene/Abstract/D/DSM3~OsITPK2
DST	Os03g0786400	LOC_Os03g57240	data/Gene/Abstract/D/DST
DTC1	Os07g0540366	LOC_Os07g35610	data/Gene/Abstract/D/DTC1
DTD|EAT1	Os04g0599300	LOC_Os04g51070	data/Gene/Abstract/E/EAT1
DTH2|OsCOL9|OsCCT08	Os02g0724000	LOC_Os02g49230	data/Gene/Abstract/D/DTH2
DTM1	None	LOC_Os07g43010	data/Gene/Abstract/D/DTM1
Du1	Os10g0498600	LOC_Os10g35550	data/Gene/Abstract/D/Du1
DUA1	None	None	data/Gene/Abstract/D/DUA1
DWA1	Os04g0473850	LOC_Os04g39780	data/Gene/Abstract/D/DWA1
DWT1	Os01g0667450|Os01g0667400	LOC_Os01g47710	data/Gene/Abstract/D/DWT1
EBL1	Os10g0390800	LOC_Os10g25170	data/Gene/Abstract/E/EBL1
EBR1	Os05g0279400	LOC_Os05g19970	data/Gene/Abstract/E/EBR1
EF-1beta2	Os03g0406200	LOC_Os03g29260	data/Gene/Abstract/E/EF-1beta2
EFA27	Os04g0511200	LOC_Os04g43200	data/Gene/Body/E/EFA27
EG1|GY1	Os01g0900400	LOC_Os01g67430	data/Gene/Abstract/E/EG1
Ehd1	Os10g0463400	LOC_Os10g32600	data/Gene/Abstract/E/Ehd1
Ehd2|RID1	Os10g0419200	LOC_Os10g28330	data/Gene/Abstract/R/RID1
Ehd3	Os08g0105000	LOC_Os08g01420	data/Gene/Abstract/E/Ehd3
Ehd4	Os03g0112700	LOC_Os03g02160	data/Gene/Abstract/E/Ehd4
eIF-1	Os07g0529800	LOC_Os07g34589	data/Gene/Abstract/E/eIF-1
eIF-4a|EIF4A	Os06g0701100	LOC_Os06g48750	data/Gene/Body/E/eIF-4a~EIF4A
EIF3H	Os04g0376500	LOC_Os04g30780	data/Gene/Abstract/E/EIF3H
eIF4G	Os07g0555200	LOC_Os07g36940	data/Gene/Abstract/E/eIF4G
EIF5	Os03g0758800	LOC_Os03g55150	data/Gene/Abstract/E/EIF5
EL5	Os02g0559800	LOC_Os02g35329	data/Gene/Abstract/E/EL5
ELIP	Os01g0246400	LOC_Os01g14410	data/Gene/Abstract/E/ELIP
EMP5|OsEMP5	Os01g0959600	LOC_Os01g72930	data/Gene/Abstract/E/EMP5~OsEMP5
ENAC1	Os01g0862800	LOC_Os01g64310	data/Gene/Abstract/E/ENAC1
ENL1	Os04g0692750	LOC_Os04g59624	data/Gene/Abstract/E/ENL1
ENL1L	Os04g0692700	LOC_Os04g59620	data/Gene/Abstract/E/ENL1L
EP	Os09g0441400	LOC_Os09g26960	data/Gene/Abstract/E/EP
EP3|LP	Os02g0260200	LOC_Os02g15950	data/Gene/Abstract/L/LP
EPSPs	Os06g0133900	LOC_Os06g04280	data/Gene/Abstract/E/EPSPS
ER-ANT1	Os11g0661300	LOC_Os11g43960	data/Gene/Abstract/E/ER-ANT1
ERS2	Os05g0155200	LOC_Os05g06320	data/Gene/Abstract/E/ERS2
ES1|TUT1|OsSCAR1	Os01g0208600	LOC_Os01g11040	data/Gene/Abstract/E/ES1
ETR2|Os-ERL1|OsETR2	Os04g0169100	LOC_Os04g08740	data/Gene/Abstract/OS/E/Os-ERL1
ETR3	Os02g0820900	LOC_Os02g57530	data/Gene/Abstract/E/ETR3
ETR4	Os07g0259100	LOC_Os07g15540	data/Gene/Abstract/E/ETR4
EUI1	Os05g0482400	LOC_Os05g40384	data/Gene/Abstract/E/EUI1
EXPLA1	Os03g0132200	LOC_Os03g04020	data/Gene/Abstract/E/EXPLA1
EYA1	Os06g0110100	LOC_Os06g02028	data/Gene/Body/E/EYA1
FC1|OsCAD7	Os04g0612700	LOC_Os04g52280	data/Gene/Abstract/F/FC1~OsCAD7
FCA|OsFCA	Os09g0123200	LOC_Os09g03610	data/Gene/Abstract/OS/F/OsFCA
FCP1|OsCLE402	Os04g0473800	LOC_Os04g39770	data/Gene/Abstract/F/FCP1~OsCLE402
FCP2	Os06g0532500	LOC_Os06g34180	data/Gene/Abstract/F/FCP2
Fd	Os05g0443500	LOC_Os05g37140	data/Gene/Body/F/Fd
Fd1	Os08g0104600	LOC_Os08g01380	data/Gene/Body/F/Fd1
FDH	Os02g0815500	LOC_Os02g57040	data/Gene/Abstract/F/FDH
FH5|RMD|BUI1	Os07g0596300	LOC_Os07g40510|LOC_Os07g40520	data/Gene/Abstract/F/FH5~RMD~BUI1
